;FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9;FLIR: rango 10;FLIR: area m2
135;135;45499;0,797863689;0,007516649;0.001736302;0.002813249;0.002747313;0.015516825;0.101826414;0.06997956;0;0;0,044602489951965495
136;136;42811;0,784471281;0,007498073;0.002102263;0.002803018;0.00308332;0.016771391;0.109621359;0.073649296;0;0;0,04196745417115969
137;137;39013;0,7625406920000001;0,008125496999999999;0.002050599;0.003383488;0.003486017;0.018891139;0.122395099;0.07912747;0;0;0,038244289775512204
138;138;41402;0,774672721;0,008236317;0.001787353;0.003188252;0.003284865;0.017945993;0.116347036;0.074537462;0;0;0,040586217037545336
139;139;41695;0,775272814;0,008154455;0.001702842;0.003261782;0.003045929;0.018491426;0.117328217;0.072742535;0;0;0,040873443780021564
140;140;44810;0,789645168;0,007319795;0.002053113;0.00301272;0.002722607;0.017116715;0.110109351;0.068020531;0;0;0,04392706597392412
141;141;45441;0,7913118109999999;0,00735019;0.001936577;0.003014898;0.002816839;0.017121102;0.111045091;0.06540349;0;0;0,044545632781099895
142;142;50064;0,809423937;0,007070949;0.001597955;0.002596676;0.002596676;0.015520134;0.102229147;0.058964525;0;0;0,049077541417508086
143;143;45843;0,79106952;0,0073948040000000005;0.001941409;0.002770325;0.003075715;0.017581746;0.117160744;0.059005737;0;0;0,044939711792961475
144;144;47087;0,79535753;0,00758171;0.001550322;0.003015694;0.002824559;0.017159726;0.118227961;0.054282498;0;0;0,04615920007842368
145;145;44985;0,78488385;0,00786929;0.001733911;0.002712015;0.003534512;0.018517284;0.129954429;0.050794709;0;0;0,044098617782570335
146;146;40636;0,761073925;0,008096269;0.002362437;0.002977655;0.003863569;0.02136037;0.151294419;0.048971355;0;0;0,03983531026369964
147;147;43223;0,7740786159999999;0,007866182;0.00194341;0.002915115;0.003909955;0.019896814;0.146241584;0.043148324;0;0;0,04237133614351534
148;148;45584;0,78461741;0,007590383000000001;0.001842752;0.00274219;0.003751316;0.018975956;0.141848017;0.038631976;0;0;0,04468581511616508
149;149;43703;0,774569252;0,00743656;0.002196646;0.002837334;0.003729721;0.020913896;0.154634693;0.033681898;0;0;0,042841878247230666
150;150;44228;0,776137289;0,007348286;0.00208013;0.003097585;0.003504567;0.020869133;0.15847427;0.02848874;0;0;0,043356533673169294
151;151;46331;0,78511148;0,007273748000000001;0.001985712;0.002913816;0.003431828;0.020051369;0.155662515;0.023569532;0;0;0,04541809626507205
152;152;46088;0,782741712;0,007724353000000001;0.001844298;0.002842388;0.00355841;0.020460857;0.161603888;0.019224093;0;0;0,04517988432506617
153;153;45422;0,7784553740000001;0,007837611999999999;0.001937387;0.003126238;0.003434459;0.02120118;0.169499362;0.014508388;0;0;0,04452700715616116
154;154;45939;0,779838481;0,007901783;0.001806744;0.003003984;0.003700559;0.021354405;0.17070463;0.011689414;0;0;0,045033820213704535
155;155;45874;0,778458386;0,007825784;0.002005493;0.003051838;0.003662205;0.021864237;0.17443432;0.008697737;0;0;0,04497010097049309
156;156;44964;0,773307535;0,007583845;0.002246241;0.002757762;0.003869762;0.023062895;0.180722356;0.006449604;0;0;0,04407803156553279
157;157;47249;0,7830430270000001;0,007407564;0.001968296;0.003026519;0.003640289;0.021862897;0.174141252;0.004910157;0;0;0,0463180080384276
158;158;46689;0,77941271;0,007517831;0.001949067;0.003019983;0.00383388;0.022467819;0.178928656;0.002870055;0;0;0,04576904225075973
159;159;45409;0,772203748;0,00746548;0.002290295;0.002972979;0.00383184;0.023783831;0.185668039;0.001783787;0;0;0,04451426330751887
160;160;45728;0,77256823;0,00756648;0.002143107;0.003258397;0.003673898;0.024011547;0.185903604;0.000874738;0;0;0,04482697774727968
161;161;45619;0,7709945420000001;0,007803766;0.001972862;0.0031785;0.003704597;0.024660777;0.187356145;0.00032881;0;0;0,04472012547789432
162;162;46584;0,774686588;0,007405976;0.002253993;0.003048257;0.003606388;0.024364589;0.18450541;0.0001288;0;0;0,045666111165572
163;163;47996;0,780169181;0,007250604;0.002062672;0.00312526;0.003583632;0.023793649;0.179952496;6,25E-05;0;0;0,047050289187334574
164;164;48863;0,783107873;0,0071628840000000004;0.001944211;0.003213065;0.00349958;0.023780775;0.177291611;0;0;0;0,04790020586217038
165;165;48781;0,7817387920000001;0,007195424000000001;0.002008979;0.003013468;0.00381296;0.024189746;0.178040631;0;0;0;0,047819821586119006
166;166;46988;0,772495105;0,007193326;0.002213331;0.003256151;0.003958457;0.026049204;0.184834426;0;0;0;0,0460621507695324
167;167;45658;0,7647728770000001;0,007621884000000001;0.001949275;0.003416707;0.004248982;0.027355557;0.190634719;0;0;0;0,044758357023821194
168;168;43660;0,753092075;0,00790197;0.001832341;0.003664682;0.004649565;0.029180027;0.19967934;0;0;0;0,04279972551710617
169;169;42384;0,7444318609999999;0,008092676;0.002123443;0.003822197;0.004860325;0.031167422;0.205502076;0;0;0;0,041548867758062935
170;170;45735;0,761714223;0,007696513;0.001989723;0.00360774;0.004460479;0.028971247;0.191560074;0;0;0;0,04483383981962553
171;171;46793;0,76599064;0,007650717;0.001880623;0.003504798;0.004252773;0.028700874;0.188019576;0;0;0;0,04587099303989805
172;172;47442;0,7678849959999999;0,007672526;0.002002445;0.003646558;0.003794106;0.02896168;0.186037688;0;0;0;0,04650720517596314
173;173;52218;0,78773603;0,007449538;0.001627791;0.003370485;0.003696044;0.02610211;0.170018001;0;0;0;0,0511890991079306
174;174;48840;0,7724201470000001;0,007678133;0.001822277;0.003357903;0.004197379;0.029135954;0.181388206;0;0;0;0,04787765905303402
175;175;48656;0,770449688;0,007624959000000001;0.002075797;0.003308944;0.004357119;0.029739395;0.182444097;0;0;0;0,04769728457994314
176;176;47695;0,765006814;0,007526994;0.002138589;0.00329175;0.00450781;0.03168047;0.185847573;0;0;0;0,04675522007646309
177;177;46831;0,7595823279999999;0,0077726290000000005;0.001985864;0.003544661;0.004590976;0.033161795;0.189361748;0;0;0;0,04590824428977551
178;178;43637;0,741343355;0,007951966999999999;0.002108303;0.003506199;0.005362422;0.038132777;0.201594977;0;0;0;0,04277717870796981
179;179;43286;0,7378136120000001;0,00813196;0.002333318;0.003580834;0.005452109;0.039943631;0.202744536;0;0;0;0,04243309479462798
