;0;1;2;3;4;5;6;7;8;9;10
83;51939;0,151061823;0,006700168;0,004409018;0,003465604;0,00567974;0,019426635;0,115154316;0,374342979;0,314696086;0,005063632
84;52903;0,157325672;0,006596979;0,004366482;0,003440259;0,005689658;0,01965862;0,114605977;0,368315596;0,319830633;0,000170123
85;54816;0,17757589;0,006074869;0,004670169;0,00301007;0,005728255;0,019519848;0,112339463;0,355571366;0,31551007;0
86;54757;0,167540223;0,006665814;0,004236901;0,003214201;0,005423964;0,020709681;0,115656446;0,356009277;0,320543492;0
87;55120;0,164423077;0,006150218;0,004535559;0,003174891;0,005624093;0,02158926;0,118087808;0,352957184;0,32345791;0
88;56749;0,179227828;0,006114645;0,004581579;0,003013269;0,005709352;0,021674391;0,115491022;0,34386509;0,320322825;0
89;57426;0,180005572;0,00623411;0,004353429;0,00351757;0,005467907;0,022202487;0,116445512;0,338905722;0,322867691;0
90;55694;0,146012138;0,005997055;0,004937695;0,002908751;0,005907279;0,024042087;0,12477107;0,349534959;0,335888965;0
91;55321;0,131487139;0,006218253;0,004392545;0,003488729;0,005947109;0,025993746;0,129028759;0,358851069;0,33459265;0
92;56488;0,140490016;0,006319926;0,004850588;0,003027192;0,005983572;0,02549214;0,129691262;0,356801445;0,327343861;0
93;57234;0,143096761;0,006447217;0,004140895;0,003546843;0,005678443;0,026103365;0,132264039;0,358999895;0,319722543;0
94;57567;0,139298556;0,006253583;0,004429621;0,00326576;0,005906162;0,026369274;0,13707506;0,363107336;0,314294648;0
95;58443;0,143900895;0,005868966;0,004893657;0,002857485;0,006005852;0,027086221;0,139229677;0,362780829;0,307376418;0
96;59726;0,154086997;0,006094498;0,004537387;0,003013763;0,005927067;0,02704015;0,139018183;0,359274018;0,301007936;0
97;60543;0,157276646;0,005880118;0,004641329;0,003187817;0,005566292;0,027550666;0,142741523;0,359149695;0,294005913;0
98;61887;0,167870474;0,005800895;0,004298156;0,003150904;0,005849371;0,027243201;0,142857143;0,357603374;0,285326482;0
99;60971;0,147315937;0,00595365;0,004461137;0,003263847;0,006035656;0,028521756;0,156779453;0,367617392;0,280051172;0
100;60806;0,136960168;0,005805348;0,004703483;0,003124692;0,006200046;0,029536559;0,172022498;0,368220241;0,273426964;0
