tf;av;max
1037,999;47,7;49,9
1038,999;47,8;49,8
1039,999;47,8;49,8
1040,999;47,7;49,7
1041,999;47,7;49,8
1042,999;47,8;49,9
1043,999;47,4;49,7
1044,999;47,2;49,3
1045,999;47,1;49,2
1046,999;47,3;49,2
1047,999;47,4;49,4
1048,999;47,4;49,4
1049,999;47,5;49,4
1050,999;47,5;49,6
1051,999;47,5;49,5
1052,999;47,5;49,4
1053,999;47,6;49,3
1054,999;47,6;49,2
1055,999;47,7;49,1
1056,999;47,7;48,9
1057,999;47,7;48,8
1058,999;47,7;48,7
1059,999;47,7;48,8
1060,999;47,6;48,8
1061,999;47,6;48,8
1062,999;47,4;48,9
1063,999;47,3;48,9
1064,999;47,2;49,0
1065,999;47,1;49,0
1066,999;47,0;49,1
1067,999;47,0;49,1
1068,999;47,1;49,0
1069,999;47,3;49,0
1070,999;47,3;49,0
1071,999;47,3;49,0
1072,999;47,4;49,1
1073,999;47,4;49,1
1074,999;47,4;49,1
1075,999;47,3;49,1
1076,999;47,3;49,2
1077,999;47,3;49,2
1078,999;47,2;49,2
1079,999;47,1;49,2
1080,999;47,0;49,1
1081,999;47,0;49,1
1082,999;46,9;49,1
1083,999;46,8;49,0
1084,999;46,6;48,8
1085,999;46,5;48,8
1086,999;46,4;48,7
1087,999;46,4;48,7
1088,999;46,4;48,8
1089,999;46,4;48,8
1090,999;46,5;48,8
1091,999;46,3;48,9
1092,999;46,5;48,8
1093,999;46,6;48,6
1094,999;46,6;48,4
1095,999;46,5;48,4
1096,999;46,4;48,4
1097,999;46,5;48,4
1098,999;46,5;48,5
1099,999;46,5;48,6
1100,999;46,3;48,6
1101,999;46,2;48,6
1102,999;46,2;48,6
1103,999;46,3;48,6
1104,999;46,4;48,6
1105,999;46,4;48,6
1106,999;46,4;48,6
1107,999;46,4;48,5
1108,999;46,5;48,6
1109,999;46,5;48,5
1110,999;46,6;48,4
1111,999;46,4;48,3
1112,999;46,2;48,1
1113,999;46,0;48,2
1114,999;45,8;48,1
1115,999;45,7;48,1
1116,999;45,7;48,2
1117,999;45,7;48,3
1118,999;45,7;48,2
1119,999;45,7;48,2
1120,999;45,6;48,2
1121,999;45,5;48,3
1122,999;45,5;48,3
1123,999;45,5;48,3
1124,999;45,5;48,3
1125,999;45,6;48,3
1127,032;45,8;48,2
1128,032;45,9;48,3
1129,032;45,9;48,3
1130,032;46,0;48,3
1131,032;46,1;48,2
1132,032;46,2;48,2
1133,032;46,1;48,2
1134,032;46,2;48,0
1135,032;46,2;47,9
1136,032;46,1;47,9
1137,032;46,2;47,8
1138,032;46,1;47,9
1139,032;46,2;47,9
1140,032;46,2;47,9
1141,032;46,2;47,9
1142,032;46,3;47,9
1143,032;46,4;47,9
1144,032;46,4;47,9
1145,032;46,4;48,0
1146,032;46,4;47,9
1147,032;46,4;47,8
1148,032;46,4;47,9
1149,032;46,3;47,8
1150,032;46,3;47,9
1151,032;46,2;47,9
1152,032;46,2;47,8
1153,032;45,9;47,6
1154,032;45,7;47,4
1155,032;45,6;47,4
1156,032;45,7;47,3
1157,032;45,8;47,3
1158,032;45,9;47,5
1159,032;45,9;47,6
1160,032;45,9;47,6
1161,032;45,9;47,7
1162,032;45,7;47,6
1163,032;45,5;47,5
1164,032;45,5;47,6
1165,032;45,6;47,5
1166,032;45,7;47,5
